City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
52,Hilo,US,78.24,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
54,New Norfolk,AU,66.92,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
55,Sinazongwe,ZM,73.65,clear sky,-17.2614,27.4618,Lakeview Lodge
57,Diego De Almagro,CL,72.05,clear sky,-26.3667,-70.05,hotel luna del desierto
60,East London,ZA,73.99,clear sky,-33.0153,27.9116,Tu Casa
61,Meulaboh,ID,75.11,overcast clouds,4.1363,96.1285,Kost Pria
62,Port Lincoln,AU,66.51,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
63,Los Llanos De Aridane,ES,65.12,clear sky,28.6585,-17.9182,Valle Aridane
64,Castro,BR,65.17,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
65,Laguna De Perlas,NI,82.49,few clouds,12.3429,-83.6712,Hotel Best View
67,Pasni,PK,69.69,clear sky,25.2631,63.471000000000004,Kashmiri Hotal
68,Omaruru,,71.85,overcast clouds,-21.4333,15.9333,"Kashana, Omaruru, Namibia"
69,Coari,BR,74.52,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
70,Pisco,PE,73.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
71,Fayaoue,NC,81.86,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
77,Amahai,ID,80.13,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
79,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
81,Sao Filipe,CV,72.41,clear sky,14.8961,-24.4956,Hotel Xaguate
82,Mataura,NZ,60.48,light rain,-46.1927,168.8643,Ellie's Villa
83,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
86,Port Elizabeth,ZA,64.69,broken clouds,-33.918,25.5701,39 On Nile Guest House
87,Galesong,ID,73.42,overcast clouds,-5.3166,119.3661,Sapriadi Appy
88,High Rock,BS,75.22,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
90,Maragogi,BR,80.06,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
92,Faanui,PF,81.45,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
93,Bluff,NZ,60.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
97,Mar Del Plata,AR,68.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
98,Sangre Grande,TT,80.19,broken clouds,10.5835,-61.1177,Lotus drive
99,Noumea,NC,82.38,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
104,Saint-Joseph,RE,75.56,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
105,Maun,BW,69.35,clear sky,-19.9833,23.4167,Enviro Villa
106,Orange Cove,US,72.61,clear sky,36.6244,-119.3137,
107,Coihaique,CL,63.21,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
110,Rocha,UY,62.11,clear sky,-34.4833,-54.3333,Hotel Arrarte
111,Sur,OM,69.06,clear sky,22.5667,59.5289,Sur Plaza Hotel
112,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
113,Kavaratti,IN,78.66,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
114,Karratha,AU,83.05,broken clouds,-20.7377,116.8463,ibis Styles Karratha
115,Bilma,NE,64.83,clear sky,18.6853,12.9164,Expeditions Ténére voyages
116,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
118,Hithadhoo,MV,82.45,overcast clouds,-0.6,73.0833,Scoop Guest House
119,Hambantota,LK,76.15,overcast clouds,6.1241,81.1185,Bungalow 63
120,Yabelo,ET,62.69,scattered clouds,4.8833,38.0833,Asnakech W/michael
121,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
124,Saint-Philippe,RE,76.55,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
125,Waingapu,ID,79.86,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
126,Kapaa,US,80.11,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
127,Atuona,PF,78.62,few clouds,-9.8,-139.0333,Villa Enata
128,Tiznit,MA,63.61,clear sky,29.5833,-9.5,
129,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
131,Lompoc,US,80.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
133,Necochea,AR,66.58,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
134,Araouane,ML,67.77,clear sky,18.9048,-3.5265,
135,Rio Grande,BR,71.94,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
138,Mangrol,IN,66.36,clear sky,21.1167,70.1167,Hotel The Royal Honours
140,Monrovia,LR,78.57,scattered clouds,6.3005,-10.7969,Sunset Inn
141,Codrington,AU,69.48,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
142,Lodwar,KE,83.19,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
146,Kabanjahe,ID,63.36,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
148,Teahupoo,PF,80.56,light rain,-17.8333,-149.2667,Vanira Lodge
149,Altamira,BR,74.34,overcast clouds,-3.2033,-52.2064,Requinte Hotel
150,Panaba,MX,70.95,overcast clouds,21.2833,-88.2667,Hotel California
151,Saldanha,ZA,62.65,broken clouds,-33.0117,17.9442,Blue Bay Lodge
152,Guarapari,BR,80.49,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
154,Hue,VN,73.51,broken clouds,16.4667,107.6,Saigon Morin Hotel
156,Valparaiso,CL,67.48,broken clouds,-33.0393,-71.6273,Hotel Ultramar
157,Reporoa,NZ,71.19,overcast clouds,-38.4333,176.35,Reporoa
160,Sao Joao Da Barra,BR,74.17,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
164,Port Hedland,AU,75.25,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
165,San Joaquin,US,74.48,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
166,Dakar,SN,74.28,clear sky,14.6937,-17.4441,Redface Studios Meublés
169,Lukulu,ZM,65.71,light rain,-14.3707,23.241999999999997,Ruth Guest House
170,Acari,PE,73.81,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
171,Namibe,AO,73.31,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
174,Cabo San Lucas,MX,78.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
176,Takaungu,KE,76.6,scattered clouds,-3.6837,39.8566,Takaungu House
177,Innisfail,AU,78.87,broken clouds,-17.5333,146.0333,Moondarra Motel
179,Victoria Point,AU,79.92,few clouds,-27.5833,153.3,Bay Retreat Motel
